,Up,30,30,900,31,31,961,53,32,30,111,111,12321,160.707,116.34,,0.6382978723,0.6382978723,0.4074241738,0.3131313131,0.3131313131,0.0980512193,0.7260273973,0.7272727273,0.7317073171,0.6809815951,0.6809815951,0.4637359329,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,31,31,961,53,32,30,111,111,12321,160.707,116.34,,0.6382978723,0.6382978723,0.4074241738,0.3131313131,0.3131313131,0.0980512193,0.7260273973,0.7272727273,0.7317073171,0.6809815951,0.6809815951,0.4637359329,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,23,23,529,21,21,441,59,36,37,104,104,10816,160.707,116.34,,0.4893617021,0.4893617021,0.2394748755,0.2121212121,0.2121212121,0.0449954086,0.8082191781,0.8181818182,0.9024390244,0.6380368098,0.6380368098,0.4070909707,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,23,23,529,21,21,441,59,36,37,104,104,10816,160.707,116.34,,0.4893617021,0.4893617021,0.2394748755,0.2121212121,0.2121212121,0.0449954086,0.8082191781,0.8181818182,0.9024390244,0.6380368098,0.6380368098,0.4070909707,0.9571077191,0.9139687802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 15,Front,36,36,1296,38,38,1444,68,41,33,138,138,19044,162.283,113.675,,0.7659574468,0.7659574468,0.5866908103,0.3838383838,0.3838383838,0.1473319049,0.9315068493,0.9318181818,0.8048780488,0.8466257669,0.8466257669,0.7167751891,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,36,36,1296,38,38,1444,68,41,33,138,138,19044,162.283,113.675,,0.7659574468,0.7659574468,0.5866908103,0.3838383838,0.3838383838,0.1473319049,0.9315068493,0.9318181818,0.8048780488,0.8466257669,0.8466257669,0.7167751891,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,32,32,1024,35,35,1225,69,41,31,134,134,17956,162.283,113.675,,0.6808510638,0.6808510638,0.4635581711,0.3535353535,0.3535353535,0.1249872462,0.9452054795,0.9318181818,0.756097561,0.8220858896,0.8220858896,0.6758252098,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,32,32,1024,35,35,1225,69,41,31,134,134,17956,162.283,113.675,,0.6808510638,0.6808510638,0.4635581711,0.3535353535,0.3535353535,0.1249872462,0.9452054795,0.9318181818,0.756097561,0.8220858896,0.8220858896,0.6758252098,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,32,32,1024,33,33,1089,31,19,31,121,121,14641,162.283,113.675,,0.6808510638,0.6808510638,0.4635581711,0.3333333333,0.3333333333,0.1111111111,0.4246575342,0.4318181818,0.756097561,0.7423312883,0.7423312883,0.5510557417,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,32,32,1024,33,33,1089,31,19,31,121,121,14641,162.283,113.675,,0.6808510638,0.6808510638,0.4635581711,0.3333333333,0.3333333333,0.1111111111,0.4246575342,0.4318181818,0.756097561,0.7423312883,0.7423312883,0.5510557417,0.9664937555,0.8930325003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 16,Front,31,31,961,29,29,841,55,33,35,123,123,15129,159.639,110.375,,0.6595744681,0.6595744681,0.4350384789,0.2929292929,0.2929292929,0.0858075707,0.7534246575,0.75,0.8536585366,0.754601227,0.754601227,0.5694230118,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,31,31,961,29,29,841,55,33,35,123,123,15129,159.639,110.375,,0.6595744681,0.6595744681,0.4350384789,0.2929292929,0.2929292929,0.0858075707,0.7534246575,0.75,0.8536585366,0.754601227,0.754601227,0.5694230118,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,35,35,1225,65,39,29,122,122,14884,159.639,110.375,,0.6382978723,0.6382978723,0.4074241738,0.3535353535,0.3535353535,0.1249872462,0.8904109589,0.8863636364,0.7073170732,0.7484662577,0.7484662577,0.5602017389,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,35,35,1225,65,39,29,122,122,14884,159.639,110.375,,0.6382978723,0.6382978723,0.4074241738,0.3535353535,0.3535353535,0.1249872462,0.8904109589,0.8863636364,0.7073170732,0.7484662577,0.7484662577,0.5602017389,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,28,28,784,30,30,900,41,25,33,126,126,15876,159.639,110.375,,0.5957446809,0.5957446809,0.3549117248,0.303030303,0.303030303,0.0918273646,0.5616438356,0.5681818182,0.8048780488,0.773006135,0.773006135,0.5975384847,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,28,28,784,30,30,900,41,25,33,126,126,15876,159.639,110.375,,0.5957446809,0.5957446809,0.3549117248,0.303030303,0.303030303,0.0918273646,0.5616438356,0.5681818182,0.8048780488,0.773006135,0.773006135,0.5975384847,0.9507471309,0.867107651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 18,Front,35,35,1225,34,34,1156,56,33,35,140,140,19600,161.181,115.325,,0.7446808511,0.7446808511,0.5545495699,0.3434343434,0.3434343434,0.1179471483,0.7671232877,0.75,0.8536585366,0.8588957055,0.8588957055,0.737701833,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,35,35,1225,34,34,1156,56,33,35,140,140,19600,161.181,115.325,,0.7446808511,0.7446808511,0.5545495699,0.3434343434,0.3434343434,0.1179471483,0.7671232877,0.75,0.8536585366,0.8588957055,0.8588957055,0.737701833,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,35,35,1225,65,39,29,122,122,14884,161.181,115.325,,0.6382978723,0.6382978723,0.4074241738,0.3535353535,0.3535353535,0.1249872462,0.8904109589,0.8863636364,0.7073170732,0.7484662577,0.7484662577,0.5602017389,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,35,35,1225,65,39,29,122,122,14884,161.181,115.325,,0.6382978723,0.6382978723,0.4074241738,0.3535353535,0.3535353535,0.1249872462,0.8904109589,0.8863636364,0.7073170732,0.7484662577,0.7484662577,0.5602017389,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,23,23,529,23,23,529,38,23,30,122,122,14884,161.181,115.325,,0.4893617021,0.4893617021,0.2394748755,0.2323232323,0.2323232323,0.0539740843,0.5205479452,0.5227272727,0.7317073171,0.7484662577,0.7484662577,0.5602017389,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,23,23,529,23,23,529,38,23,30,122,122,14884,161.181,115.325,,0.4893617021,0.4893617021,0.2394748755,0.2323232323,0.2323232323,0.0539740843,0.5205479452,0.5227272727,0.7317073171,0.7484662577,0.7484662577,0.5602017389,0.9599306767,0.905994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input 19,Front,36,36,1296,28,28,784,44,26,32,137,137,18769,162.782,116.343,,0.7659574468,0.7659574468,0.5866908103,0.2828282828,0.2828282828,0.0799918376,0.602739726,0.5909090909,0.7804878049,0.8404907975,0.8404907975,0.7064247808,0.9694656034,0.9139923482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Front,36,36,1296,28,28,784,44,26,32,137,137,18769,162.782,116.343,,0.7659574468,0.7659574468,0.5866908103,0.2828282828,0.2828282828,0.0799918376,0.602739726,0.5909090909,0.7804878049,0.8404907975,0.8404907975,0.7064247808,0.9694656034,0.9139923482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,32,32,1024,49,29,30,130,130,16900,162.782,116.343,,0.6382978723,0.6382978723,0.4074241738,0.3232323232,0.3232323232,0.1044791348,0.6712328767,0.6590909091,0.7317073171,0.7975460123,0.7975460123,0.6360796417,0.9694656034,0.9139923482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up,30,30,900,32,32,1024,49,29,30,130,130,16900,162.782,116.343,,0.6382978723,0.6382978723,0.4074241738,0.3232323232,0.3232323232,0.1044791348,0.6712328767,0.6590909091,0.7317073171,0.7975460123,0.7975460123,0.6360796417,0.9694656034,0.9139923482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down,32,32,1024,31,31,961,53,32,33,131,131,17161,162.782,116.343,,0.6808510638,0.6808510638,0.4635581711,0.3131313131,0.3131313131,0.0980512193,0.7260273973,0.7272727273,0.8048780488,0.8036809816,0.8036809816,0.6459031202,0.9694656034,0.9139923482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
